message_count_a,message_count_b,proof_size_bytes,issue_a_ms,issue_b_ms,pedersen_ms,prove_ms,verify_ms,run
4,7,1002,9.394,10.472,3.604,45.535,85.818,1
4,7,1002,9.143,10.95,2.084,46.045,90.456,2
4,7,1002,9.028,10.555,2.062,46.891,85.715,3
4,7,1002,8.688,10.732,2.068,46.331,85.536,4
4,7,1002,8.593,11.689,2.106,48.494,86.842,5
4,7,1002,8.839,10.869,2.0,46.526,88.343,6
4,7,1002,9.764,11.411,2.131,46.741,86.472,7
4,7,1002,9.395,11.355,2.128,45.519,86.772,8
4,7,1002,8.723,10.498,2.153,46.061,86.589,9
4,7,1002,8.836,10.873,2.064,45.085,85.279,10
4,7,1002,9.472,10.672,3.59,47.157,86.936,1
4,7,1002,9.55,10.638,2.094,47.177,91.78,2
4,7,1002,8.623,10.89,2.044,45.097,90.14,3
4,7,1002,8.759,11.13,2.039,45.991,86.059,4
4,7,1002,8.768,10.834,2.05,46.911,86.033,5
4,7,1002,8.971,10.546,2.025,44.62,84.528,6
4,7,1002,8.714,10.724,2.051,45.869,86.205,7
4,7,1002,8.806,10.569,2.144,45.764,85.993,8
4,7,1002,8.657,10.775,2.008,46.298,86.949,9
4,7,1002,10.702,11.816,1.985,45.842,85.157,10
4,7,1002,9.116,10.689,3.575,46.244,86.132,1
4,7,1002,8.949,12.201,2.283,48.336,85.075,2
4,7,1002,9.041,10.677,2.094,45.23,85.529,3
4,7,1002,9.133,10.677,2.083,45.436,85.705,4
4,7,1002,11.452,10.565,2.989,47.883,84.987,5
4,7,1002,8.624,12.141,2.165,45.16,84.54,6
4,7,1002,8.963,11.042,1.985,45.985,87.308,7
4,7,1002,8.848,10.367,2.072,46.601,85.352,8
4,7,1002,8.985,10.535,2.041,44.927,85.263,9
4,7,1002,8.83,10.695,1.971,46.649,85.331,10
4,7,1002,9.067,12.471,3.57,50.904,88.128,1
4,7,1002,8.956,11.065,2.205,46.86,85.104,2
4,7,1002,8.901,10.819,2.03,46.1,86.058,3
4,7,1002,9.269,10.583,2.055,49.106,88.694,4
4,7,1002,8.728,10.655,2.048,48.629,88.661,5
4,7,1002,8.687,10.716,2.078,45.447,92.099,6
4,7,1002,8.921,10.637,2.063,49.792,86.503,7
4,7,1002,8.753,11.319,2.053,44.602,85.125,8
4,7,1002,9.21,10.764,2.509,48.476,87.16,9
4,7,1002,8.975,10.473,1.955,45.148,86.504,10
4,7,1002,9.01,11.326,3.568,45.811,87.662,1
4,7,1002,10.405,10.876,2.098,45.395,87.303,2
4,7,1002,9.041,10.733,2.066,46.123,84.229,3
4,7,1002,8.793,10.621,2.016,44.892,86.546,4
4,7,1002,8.651,12.614,1.982,45.695,96.369,5
4,7,1002,9.063,11.185,2.13,46.896,94.929,6
4,7,1002,10.114,10.748,2.039,45.355,84.485,7
4,7,1002,8.911,11.286,2.096,46.999,84.88,8
4,7,1002,8.991,10.617,2.038,50.027,85.398,9
4,7,1002,8.901,10.393,2.102,45.653,90.431,10
4,7,1002,10.46,10.496,3.765,44.95,85.976,1
4,7,1002,8.686,10.774,2.016,47.922,87.571,2
4,7,1002,8.649,12.723,3.07,45.837,86.176,3
4,7,1002,9.87,12.192,2.029,47.115,84.736,4
4,7,1002,8.837,10.874,3.257,49.201,87.785,5
4,7,1002,8.751,11.098,2.06,44.667,85.929,6
4,7,1002,8.806,11.342,2.25,45.972,84.687,7
4,7,1002,8.945,10.597,2.203,45.057,85.462,8
4,7,1002,8.978,10.793,2.063,49.452,84.851,9
4,7,1002,8.862,10.945,4.569,49.539,83.979,10
4,7,897,8.952,11.118,43.583,85.096,1
4,7,897,8.958,10.698,45.802,79.138,1
4,7,897,8.877,10.577,44.742,82.389,2
4,7,897,8.736,10.446,42.693,80.388,3
4,7,897,8.87,10.603,42.888,80.13,4
4,7,897,8.843,10.405,42.978,80.457,5
4,7,897,8.735,10.579,43.324,79.349,6
4,7,897,8.816,10.688,44.138,81.036,7
4,7,897,8.774,10.517,43.009,83.781,8
4,7,897,8.986,12.208,42.756,82.152,9
4,7,897,9.042,10.88,43.424,81.788,10
4,9,857,9.519,14.312,44.749,85.711,1
4,9,857,8.912,11.884,46.937,82.774,2
4,9,857,8.671,12.702,44.169,82.041,3
4,9,857,8.852,11.696,44.718,83.017,4
4,9,857,9.102,11.817,44.979,82.649,5
4,9,857,8.855,11.799,43.737,81.226,6
4,9,857,9.262,12.418,45.95,81.814,7
4,9,857,8.647,11.886,44.981,82.88,8
4,9,857,8.83,12.954,44.315,86.982,9
4,9,857,9.247,12.114,45.531,83.131,10
